tx_lat,tx_lon,tx_el,rx_lat,rx_lon,rx_el,frequency_Hz,pathloss_dB,pl_los_index,propagation_delay_s,propagation_distance_m,rays_count,h_bar,SNR_dB,capacity,loss_dB
34.0697,-118.4424,113.555820524693,34.0674,-118.44225,109.278806836344,2400000000,133.661659253783,2,1.14077609014777e-06,341.99606809303,45,0,-Inf,0,133.661664801273
34.0697,-118.44235,113.632287926041,34.0674,-118.44225,109.278806836344,2400000000,133.737757952949,2,1.13068322765837e-06,338.970304039075,48,9.19696923154728e-05,-80.0296249464666,0,133.737763573604
34.0697,-118.4423,113.70874340646,34.0674,-118.44225,109.278806836344,2400000000,133.863192052213,2,1.12151396346693e-06,336.221427789073,49,0.00381358336102537,-60.295122190937,1.96033684899622e-11,133.863197627506
34.0697,-118.44225,113.785202222876,34.0674,-118.44225,109.278806836344,2400000000,128.3111781553,24,1.2738911761132e-06,381.902966911488,37,0.00433058230628946,-52.6507001199799,1.46959433253577e-10,128.311183737178
34.0697,-118.4422,113.861656746827,34.0674,-118.44225,109.278806836344,2400000000,125.110658057785,20,1.27083871724136e-06,380.987862763355,33,0.0183776489150214,-41.0182437410826,3.85416285612851e-08,125.110663619143
34.0697,-118.44215,113.938122237101,34.0674,-118.44225,109.278806836344,2400000000,111.26605702021,9,1.27334829797908e-06,381.740216141266,39,0.0159160061884926,-34.1824246674519,1.39508365384472e-07,111.266062634622
34.0697,-118.4421,114.01458343491,34.0674,-118.44225,109.278806836344,2400000000,100.397282257218,3,8.66323516940735e-07,259.717256566868,38,0.811472598809581,10.8006800360559,3.15672086373582,100.397287794858
34.0697,-118.44205,114.091040339321,34.0674,-118.44225,109.278806836344,2400000000,88.2114186561738,1,8.53394475448529e-07,255.841227438335,18,0.528043186546655,18.6678118683525,4.42742472515744,88.211424264009
34.0697,-118.442,114.167485320941,34.0674,-118.44225,109.278806836344,2400000000,88.2241708172086,1,8.54648303989593e-07,256.217115778571,23,0.638687168607294,20.3185211318017,5.4885265336227,88.2241764136716
34.0697,-118.44195,114.243948898278,34.0674,-118.44225,109.278806836344,2400000000,88.2396960207025,1,8.56177272768667e-07,256.675489087055,14,0.373869732155863,15.6841136976983,2.6262766366529,88.2397016125005
34.0697,-118.4419,134.861484843306,34.0674,-118.44225,109.278806836344,2400000000,88.2990764325906,1,8.62050515502771e-07,258.436242962743,5,0.147632325104722,7.75021147178829,0.176109152838278,88.2990820512383
34.0697,-118.44185,134.861485672183,34.0674,-118.44225,109.278806836344,2400000000,95.1642981579936,1,8.64112304557523e-07,259.054351771344,5,0.266245769528428,6.00735728758309,0.359165744690478,95.1643037459485
34.0697,-118.4418,134.861482207663,34.0674,-118.44225,109.278806836344,2400000000,102.559689723852,1,8.66598640405756e-07,259.7997365067,13,0.191837233476354,-4.14436559151657,0.0203022610165704,102.559695319079
34.0697,-118.44175,134.861482080072,34.0674,-118.44225,109.278806836344,2400000000,115.206613661623,35,1.04372819702823e-06,312.901841671003,54,0.298819812321613,-11.5726519645003,0.00894090918915215,115.206619254317
